arm,asset,horizon,pulls,mean_reward
0,BTC,1,10,-0.003039094898849726
1,BTC,3,10,-0.00784094724804163
2,BTC,7,10,-0.0003070222213864326
3,DOGE,1,10,-0.0029458465636707843
4,DOGE,3,10,-0.006191727821715176
5,DOGE,7,10,-0.006336507946252823
6,ETH,1,10,-0.0003105935174971819
7,ETH,3,10,-0.0007209964096546173
8,ETH,7,10,-0.0004943144507706167
9,LTC,1,10,0.0005272783804684877
10,LTC,3,10,0.0035716793965548275
11,LTC,7,10,0.006558905541896819
12,XRP,1,10,0.006489725131541492
13,XRP,3,10,0.006561283580958844
14,XRP,7,10,0.005423260107636451
