arm,asset,horizon,pulls,mean_reward
0,BTC,1,12,-0.0024562271622320018
1,BTC,3,8,0.00359610584564507
2,BTC,7,10,0.004710313305258751
3,DOGE,1,12,-0.0018305312066028516
4,DOGE,3,9,0.0028204600481937328
5,DOGE,7,10,-0.002489422680810094
6,ETH,1,4,0.0016025848453864457
7,ETH,3,9,0.0038781343027949333
8,ETH,7,9,8.25822353363037e-05
9,LTC,1,13,0.0008282081689685585
10,LTC,3,9,0.0024124830961227417
11,LTC,7,10,0.00020501930266618728
12,XRP,1,11,0.000550136732106859
13,XRP,3,11,0.002996753985908898
14,XRP,7,13,0.002125310210081247
