round,arm,asset,horizon,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
1,2,BTC,7,0.009250432252883911,0.27438053488731384,0.26513010263442993,0.009250432252883911,1
2,13,XRP,3,0.020594574511051178,0.14342688024044037,0.12283230572938919,0.020594574511051178,1
3,14,XRP,7,0.014409631490707397,0.14985588192939758,0.13544625043869019,0.014409631490707397,1
4,3,DOGE,1,-0.02190156653523445,0.05909455940127373,0.08099612593650818,-0.02190156653523445,1
5,5,DOGE,7,-0.026231758296489716,0.08204736560583115,0.10827912390232086,-0.026231758296489716,1
6,7,ETH,3,0.019782021641731262,0.10209010541439056,0.0823080837726593,0.019782021641731262,1
7,6,ETH,1,0.008388474583625793,0.08372210711240768,0.07533363252878189,0.008388474583625793,1
8,5,DOGE,7,-0.0014659017324447632,0.1503594070672989,0.15182530879974365,-0.01384883001446724,2
9,10,LTC,3,0.015485189855098724,0.09644540399312973,0.080960214138031,0.015485189855098724,1
10,0,BTC,1,-0.010418921709060669,0.12685707211494446,0.13727599382400513,-0.010418921709060669,1
11,1,BTC,3,0.0015290230512619019,0.13568075001239777,0.13415172696113586,0.0015290230512619019,1
12,9,LTC,1,0.010179560631513596,0.05319885537028313,0.04301929473876953,0.010179560631513596,1
13,7,ETH,3,0.019346021115779877,0.06916223466396332,0.04981621354818344,0.01956402137875557,2
14,14,XRP,7,0.01629708707332611,0.09486659616231918,0.07856950908899307,0.015353359282016754,2
15,4,DOGE,3,0.009856294840574265,0.053572844713926315,0.04371654987335205,0.009856294840574265,1
16,1,BTC,3,0.006140628829598427,0.018667306751012802,0.012526677921414375,0.0038348259404301643,2
17,7,ETH,3,0.001429266296327114,0.014207246713340282,0.012777980417013168,0.013519103017946083,3
18,0,BTC,1,-0.0024913642555475235,0.008676470257341862,0.011167834512889385,-0.006455142982304096,2
19,4,DOGE,3,0.004402933642268181,0.02658350020647049,0.02218056656420231,0.007129614241421223,2
