asset,split,horizon,samples
BTC,train,1,4487
BTC,train,3,4485
BTC,train,7,4481
BTC,val,1,301
BTC,val,3,299
BTC,val,7,295
BTC,test,1,527
BTC,test,3,525
BTC,test,7,521
LTC,train,1,3290
LTC,train,3,3288
LTC,train,7,3284
LTC,val,1,301
LTC,val,3,299
LTC,val,7,295
LTC,test,1,527
LTC,test,3,525
LTC,test,7,521
XRP,train,1,2835
XRP,train,3,2833
XRP,train,7,2829
XRP,val,1,301
XRP,val,3,299
XRP,val,7,295
XRP,test,1,527
XRP,test,3,525
XRP,test,7,521
ETH,train,1,2640
ETH,train,3,2638
ETH,train,7,2634
ETH,val,1,301
ETH,val,3,299
ETH,val,7,295
ETH,test,1,527
ETH,test,3,525
ETH,test,7,521
DOGE,train,1,2311
DOGE,train,3,2309
DOGE,train,7,2305
DOGE,val,1,301
DOGE,val,3,299
DOGE,val,7,295
DOGE,test,1,527
DOGE,test,3,525
DOGE,test,7,521
