round,arm,asset,horizon,regime,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
1,0,BTC,1,high,0.11755800247192383,1.5946781635284424,1.4771201610565186,0.11755800247192383,1
2,1,BTC,3,high,0.1401059627532959,1.4762705564498901,1.3361645936965942,0.1401059627532959,1
3,2,BTC,7,high,0.16453027725219727,1.3225585222244263,1.158028244972229,0.16453027725219727,1
4,3,ETH,1,high,0.1026715338230133,0.552191972732544,0.44952043890953064,0.1026715338230133,1
5,4,ETH,3,high,0.13147714734077454,0.45120832324028015,0.3197311758995056,0.13147714734077454,1
6,5,ETH,7,high,0.17061011493206024,0.3256574869155884,0.15504737198352814,0.17061011493206024,1
7,5,ETH,7,high,0.145755710080266,0.15504737198352814,0.009291661903262138,0.15818291250616312,2
8,2,BTC,7,high,0.03741138055920601,0.0798766165971756,0.04246523603796959,0.10097082890570164,2
9,1,BTC,3,high,-0.13630679994821548,0.05186270922422409,0.18816950917243958,0.001899581402540207,2
10,4,ETH,3,high,-0.45974767208099365,0.5351741313934326,0.9949218034744263,-0.16413526237010956,2
11,0,BTC,1,high,-0.1352713406085968,0.44582417607307434,0.5810955166816711,-0.008856669068336487,2
12,3,ETH,1,high,-0.1483170986175537,1.1910920143127441,1.3394091129302979,-0.022822782397270203,2
13,5,ETH,7,high,-0.05484724044799805,1.329689860343933,1.3845371007919312,0.08717286152144273,3
14,2,BTC,7,high,0.041107892990112305,0.7460150718688965,0.7049071788787842,0.08101651693383853,3
15,1,BTC,3,high,0.1371760368347168,0.7116662263870239,0.5744901895523071,0.04699173321326574,3
16,0,BTC,1,high,0.17742720246315002,0.5762414336204529,0.39881423115730286,0.05323795477549235,3
17,3,ETH,1,high,0.32616734504699707,0.6860892176628113,0.3599218726158142,0.09350726008415222,3
18,4,ETH,3,high,0.22726713120937347,0.3623732030391693,0.13510607182979584,-0.033667797843615205,3
19,3,ETH,1,high,0.09653830528259277,0.13122181594371796,0.03468351066112518,0.09426502138376236,4
20,5,ETH,7,high,0.019743191078305244,0.04332861304283142,0.023585421964526176,0.07031544391065836,4
