model,asset,horizon,MAE,RMSE,sMAPE,DA
ACG-DRL,BTC,1,0.7713649868965149,0.9524247646331787,14.231432914733887,0.48956355452537537
ACG-DRL,BTC,3,0.787868320941925,0.9704733490943909,14.624835968017578,0.4590476155281067
ACG-DRL,BTC,7,0.8169026374816895,1.0028300285339355,15.29210090637207,0.4529750347137451
ACG-DRL,DOGE,1,0.1138477697968483,0.16572977602481842,7.822772979736328,0.4990512430667877
ACG-DRL,DOGE,3,0.16909010708332062,0.254844605922699,11.1085205078125,0.4876190423965454
ACG-DRL,DOGE,7,0.24526181817054749,0.3748871982097626,15.552677154541016,0.5028790831565857
ACG-DRL,ETH,1,0.09255602955818176,0.12443163245916367,5.131897926330566,0.5161290168762207
ACG-DRL,ETH,3,0.13473865389823914,0.1885368674993515,7.2683491706848145,0.5561904907226562
ACG-DRL,ETH,7,0.20786184072494507,0.2754462659358978,11.041983604431152,0.5259116888046265
ACG-DRL,LTC,1,0.06534314900636673,0.08621691912412643,24.603614807128906,0.5388994216918945
ACG-DRL,LTC,3,0.08423364907503128,0.11610753834247589,29.4188175201416,0.5314285755157471
ACG-DRL,LTC,7,0.116752028465271,0.15554052591323853,38.66490173339844,0.4779270589351654
ACG-DRL,XRP,1,0.5621980428695679,0.8397471308708191,16.020280838012695,0.5028463006019592
ACG-DRL,XRP,3,0.5908101201057434,0.8872771859169006,18.281108856201172,0.5219047665596008
ACG-DRL,XRP,7,0.6482481360435486,0.9812613725662231,22.07181739807129,0.5028790831565857
