arm_idx,asset,horizon,pulls,mean_reward
0,BTC,1,13,-0.008284413363211432
1,BTC,3,13,-0.008107223476354892
2,BTC,7,13,-0.003649673926142546
3,LTC,1,14,0.009276186099408994
4,LTC,3,13,-0.0034771736424702875
5,LTC,7,13,-0.003870893771258684
6,XRP,1,13,-0.0031863253277081716
7,XRP,3,13,0.0005458947987510607
8,XRP,7,14,0.0016889804974198341
9,ETH,1,14,0.0030973064214257257
10,ETH,3,14,0.004018852453944938
11,ETH,7,13,0.001614948806281273
12,DOGE,1,14,0.0023320468109367144
13,DOGE,3,13,0.0015299424099234436
14,DOGE,7,13,0.001681600518238086
