round,arm,asset,horizon,reward_lp,val_mse_before,val_mse_after,mean_reward_est,pulls_arm
1,0,BTC,1,-0.11704115569591522,0.19594652950763702,0.31298768520355225,-0.11704115569591522,1
2,1,BTC,3,-0.12360334396362305,0.30907386541366577,0.4326772093772888,-0.12360334396362305,1
3,2,BTC,7,-0.03673252463340759,0.4194173216819763,0.4561498463153839,-0.03673252463340759,1
4,3,LTC,1,0.12126915529370308,0.16606080532073975,0.04479165002703667,0.12126915529370308,1
5,4,LTC,3,-0.053253162652254105,0.04912513121962547,0.10237829387187958,-0.053253162652254105,1
6,5,LTC,7,-0.059867896139621735,0.10666952282190323,0.16653741896152496,-0.059867896139621735,1
7,6,XRP,1,-0.05196331441402435,0.1429297924041748,0.19489310681819916,-0.05196331441402435,1
8,7,XRP,3,-0.019608423113822937,0.20924142003059387,0.2288498431444168,-0.019608423113822937,1
9,8,XRP,7,0.007357865571975708,0.25815603137016296,0.25079816579818726,0.007357865571975708,1
10,9,ETH,1,0.018119558691978455,0.12241189926862717,0.10429234057664871,0.018119558691978455,1
11,10,ETH,3,0.0288640558719635,0.10941735655069351,0.08055330067873001,0.0288640558719635,1
12,11,ETH,7,0.03462055325508118,0.08975843340158463,0.05513788014650345,0.03462055325508118,1
13,12,DOGE,1,0.04259701073169708,0.13439513742923737,0.09179812669754028,0.04259701073169708,1
14,13,DOGE,3,0.03818443790078163,0.09427546709775925,0.056091029196977615,0.03818443790078163,1
15,14,DOGE,7,0.02935929037630558,0.0605623722076416,0.03120308183133602,0.02935929037630558,1
16,3,LTC,1,0.01159716583788395,0.02909437194466591,0.01749720610678196,0.06643316056579351,2
17,12,DOGE,1,0.004340870771557093,0.009963716380298138,0.005622845608741045,0.023468940751627088,2
18,13,DOGE,3,-0.0030261678621172905,0.007034250535070896,0.010060418397188187,0.01757913501933217,2
19,11,ETH,7,-0.018760360777378082,0.1143573597073555,0.13311772048473358,0.007930096238851547,2
20,14,DOGE,7,-0.004088185727596283,0.01698884181678295,0.021077027544379234,0.012635552324354649,2
21,10,ETH,3,0.035607971251010895,0.13255004584789276,0.09694207459688187,0.0322360135614872,2
22,9,ETH,1,0.03827568143606186,0.09748232364654541,0.05920664221048355,0.028197620064020157,2
23,8,XRP,7,0.013291995972394943,0.06319793313741684,0.049905937165021896,0.010324930772185326,2
24,7,XRP,3,0.010475154966115952,0.033719319850206375,0.023244164884090424,-0.004566634073853493,2
