model,horizon,MAE,RMSE,sMAPE,DA
KAN-spline,1,1.8717203974723815,2.2929831027984617,91.66887893676758,0.5100569307804108
LSTM,1,0.4619083508849144,0.651187451183796,20.028423023223876,0.5138519823551178
Naive,1,0.0844341441988945,0.13643690571188927,7.066374254226685,0.0
SMA,1,0.12604963332414626,0.197573883831501,9.976250696182252,0.5316887974739075
KAN-spline,3,1.9786948680877685,2.4207836151123048,109.53312683105469,0.5116190552711487
LSTM,3,0.47165732830762863,0.659856005012989,20.018789291381836,0.5097142934799195
Naive,3,0.14946199655532838,0.23120715320110322,11.787642240524292,0.0
SMA,3,0.17793141603469848,0.2729304850101471,13.310059642791748,0.5093333423137665
KAN-spline,7,1.8762921690940857,2.294993382692337,91.77400131225586,0.5216890573501587
LSTM,7,0.742111536860466,1.0217112064361573,31.779701805114748,0.5074855983257294
Naive,7,0.23455180674791337,0.35248776376247404,17.299046802520753,0.0
SMA,7,0.25201016664505005,0.38050375282764437,18.03493709564209,0.5071017444133759
