model,asset,horizon,MAE,RMSE,sMAPE,DA
KAN-spline,BTC,1,3.9485294818878174,4.366155624389648,116.94210815429688,0.48956355452537537
LSTM,BTC,1,0.9298041462898254,1.229669213294983,17.00962257385254,0.49335864186286926
Naive,BTC,1,0.09703285247087479,0.13310113549232483,1.9712581634521484,0.0
SMA,BTC,1,0.14147043228149414,0.18622326850891113,2.9169623851776123,0.5256167054176331
KAN-spline,BTC,3,3.7444000244140625,4.284247875213623,107.60359954833984,0.4590476155281067
LSTM,BTC,3,1.1442492008209229,1.5102208852767944,21.510690689086914,0.4761904776096344
Naive,BTC,3,0.1655588150024414,0.21939079463481903,3.4146149158477783,0.0
SMA,BTC,3,0.19506719708442688,0.25279271602630615,4.02733850479126,0.4990476071834564
KAN-spline,BTC,7,3.977278470993042,4.373481750488281,117.87481689453125,0.4529750347137451
LSTM,BTC,7,1.4751403331756592,1.9035532474517822,29.1476993560791,0.47984644770622253
Naive,BTC,7,0.24873600900173187,0.32217466831207275,5.128264904022217,0.0
SMA,BTC,7,0.26711004972457886,0.3433285653591156,5.458165168762207,0.5124760270118713
KAN-spline,DOGE,1,1.0494670867919922,1.3136969804763794,92.95726013183594,0.5085389018058777
LSTM,DOGE,1,0.5707624554634094,0.8527808785438538,36.803375244140625,0.5104364156723022
Naive,DOGE,1,0.08081416040658951,0.1256970316171646,5.352756977081299,0.0
SMA,DOGE,1,0.12610720098018646,0.20729686319828033,8.141218185424805,0.5085389018058777
KAN-spline,DOGE,3,1.1924222707748413,1.4477635622024536,116.34046936035156,0.5123809576034546
LSTM,DOGE,3,0.20734211802482605,0.3323197364807129,13.062257766723633,0.5523809790611267
Naive,DOGE,3,0.14789839088916779,0.24310673773288727,9.617280006408691,0.0
SMA,DOGE,3,0.17796985805034637,0.2913796305656433,11.458134651184082,0.508571445941925
KAN-spline,DOGE,7,1.136707067489624,1.3918681144714355,107.08696746826172,0.5201535224914551
LSTM,DOGE,7,0.5992782115936279,0.8879414200782776,39.57278060913086,0.5451055765151978
Naive,DOGE,7,0.23276548087596893,0.37774908542633057,14.877080917358398,0.0
SMA,DOGE,7,0.2590257525444031,0.4223269522190094,16.122234344482422,0.5163148045539856
KAN-spline,ETH,1,1.2039178609848022,1.3743407726287842,79.86997985839844,0.5009487867355347
LSTM,ETH,1,0.10935897380113602,0.15486328303813934,5.794722080230713,0.5218216180801392
Naive,ETH,1,0.0709969624876976,0.10329782217741013,3.7961418628692627,0.0
SMA,ETH,1,0.1080932468175888,0.15394338965415955,5.718262195587158,0.5407969355583191
KAN-spline,ETH,3,1.7288044691085815,1.8625001907348633,148.6792449951172,0.5047619342803955
LSTM,ETH,3,0.17236177623271942,0.23632670938968658,9.084163665771484,0.5142857432365417
Naive,ETH,3,0.12738342583179474,0.17865592241287231,6.7320427894592285,0.0
SMA,ETH,3,0.1534913033246994,0.2137828916311264,8.092440605163574,0.508571445941925
KAN-spline,ETH,7,1.0912423133850098,1.278351068496704,69.00102996826172,0.5355086326599121
LSTM,ETH,7,0.22628669440746307,0.30347028374671936,12.084877967834473,0.5623800158500671
Naive,ETH,7,0.20420564711093903,0.2751161754131317,10.803223609924316,0.0
SMA,ETH,7,0.22328057885169983,0.297475665807724,11.90867805480957,0.5047984719276428
KAN-spline,LTC,1,0.22080594301223755,0.2934039831161499,63.029361724853516,0.5426945090293884
LSTM,LTC,1,0.050673648715019226,0.07559620589017868,24.04191017150879,0.5388994216918945
Naive,LTC,1,0.037692293524742126,0.05861851945519447,18.685436248779297,0.0
SMA,LTC,1,0.054886363446712494,0.08244966715574265,24.840362548828125,0.5464895367622375
KAN-spline,LTC,3,0.2300434112548828,0.31027019023895264,65.89910125732422,0.5542857050895691
LSTM,LTC,3,0.08033544570207596,0.1134847030043602,35.56262969970703,0.5066666603088379
Naive,LTC,3,0.06512665748596191,0.0972600132226944,29.353225708007812,0.0
SMA,LTC,3,0.07574620842933655,0.11185739934444427,31.0795841217041,0.5123809576034546
KAN-spline,LTC,7,0.19832605123519897,0.2791110575199127,57.53902053833008,0.5892514586448669
LSTM,LTC,7,0.11236149072647095,0.15373602509498596,41.175132751464844,0.4529750347137451
Naive,LTC,7,0.09979140013456345,0.1432790905237198,39.841957092285156,0.0
SMA,LTC,7,0.10690644383430481,0.15106777846813202,40.167171478271484,0.4856046140193939
KAN-spline,XRP,1,2.9358816146850586,4.117318153381348,105.54568481445312,0.5085389018058777
LSTM,XRP,1,0.6489425301551819,0.943027675151825,16.49248504638672,0.5047438144683838
Naive,XRP,1,0.13563445210456848,0.2614700198173523,5.526278018951416,0.0
SMA,XRP,1,0.19969092309474945,0.3579562306404114,8.264448165893555,0.53700190782547
KAN-spline,XRP,3,2.9978041648864746,4.199136257171631,109.14321899414062,0.5276190638542175
LSTM,XRP,3,0.7539981007575989,1.1069279909133911,20.874204635620117,0.4990476071834564
Naive,XRP,3,0.241342693567276,0.41762229800224304,9.82104778289795,0.0
SMA,XRP,3,0.2873825132846832,0.49483978748321533,11.892800331115723,0.5180952548980713
KAN-spline,XRP,7,2.9779069423675537,4.152154922485352,107.36817169189453,0.5105566382408142
LSTM,XRP,7,1.2974909543991089,1.859855055809021,36.91801834106445,0.4971209168434143
Naive,XRP,7,0.3872604966163635,0.6441197991371155,15.844707489013672,0.0
SMA,XRP,7,0.40372800827026367,0.6883198022842407,16.518436431884766,0.5163148045539856
