model,input_dim,win,batch,samples_per_sec,wall_time_s,energy_kwh,cost_usd,carbon_kg
LSTM,1,32,64,2606.6408966520653,1.9642137920018286,1.63684482666819e-05,3.2736896533363807e-06,6.547379306672761e-06
LSTM,1,32,128,7812.077586853403,1.3107908729980409,1.0923257274983673e-05,2.1846514549967345e-06,4.369302909993469e-06
LSTM,1,32,256,8844.637268428667,2.3155274069977168,1.9296061724980975e-05,3.859212344996195e-06,7.71842468999239e-06
LSTM,1,32,512,8933.066656635145,4.585211503999744,3.821009586666453e-05,7.642019173332907e-06,1.5284038346665813e-05
LSTM,1,64,64,3826.9876869463797,1.337866860001668,1.1148890500013901e-05,2.2297781000027804e-06,4.459556200005561e-06
LSTM,1,64,128,2735.779529281259,3.7429916740002227,3.119159728333519e-05,6.238319456667039e-06,1.2476638913334078e-05
LSTM,1,64,256,4558.232426490784,4.492969660997915,3.744141384164929e-05,7.488282768329859e-06,1.4976565536659719e-05
LSTM,1,64,512,3777.4033403764674,10.843427695999708,9.036189746666423e-05,1.8072379493332845e-05,3.614475898666569e-05
LSTM,1,128,64,2704.5509571944363,1.893105391998688,1.5775878266655732e-05,3.1551756533311467e-06,6.310351306662293e-06
LSTM,1,128,128,3316.210239366863,3.08786212600171,2.573218438334758e-05,5.146436876669516e-06,1.0292873753339032e-05
LSTM,1,128,256,2893.7460311466602,7.077331520998996,5.897776267499164e-05,1.1795552534998328e-05,2.3591105069996657e-05
LSTM,1,128,512,3102.778438281041,13.201071496001532,0.0001100089291333461,2.200178582666922e-05,4.400357165333844e-05
LSTM,6,32,64,11982.438126828663,0.4272920039984456,3.5607666999870465e-06,7.121533399974093e-07,1.4243066799948186e-06
LSTM,6,32,128,12824.183187395702,0.798491401001229,6.654095008343574e-06,1.330819001668715e-06,2.66163800333743e-06
LSTM,6,32,256,13430.288113368482,1.5249114409998583,1.2707595341665486e-05,2.5415190683330973e-06,5.0830381366661945e-06
LSTM,6,32,512,12740.2497812559,3.2150076099969738,2.6791730083308115e-05,5.3583460166616234e-06,1.0716692033323247e-05
LSTM,6,64,64,6465.296349396141,0.7919203889978235,6.5993365749818615e-06,1.3198673149963723e-06,2.6397346299927447e-06
LSTM,6,64,128,6708.778951890761,1.5263582349980425,1.2719651958317019e-05,2.543930391663404e-06,5.087860783326808e-06
LSTM,6,64,256,5119.536829100644,4.000361885002349,3.333634904168624e-05,6.667269808337248e-06,1.3334539616674496e-05
LSTM,6,64,512,6379.2788821550685,6.4207884239986015,5.350657019998834e-05,1.0701314039997669e-05,2.1402628079995337e-05
LSTM,6,128,64,3390.474431494793,1.510113142998307,1.2584276191652558e-05,2.516855238330512e-06,5.033710476661024e-06
