model,input_dim,win,batch,steps_per_sec,wall_time_s,energy_kwh,cost_usd,carbon_kg
LSTM,1,32,128,41.20299832479346,2.9124094089966093,2.4270078408305076e-05,4.854015681661015e-06,9.70803136332203e-06
LSTM,1,32,256,17.03291800569495,7.045181568999396,5.8709846408328296e-05,1.174196928166566e-05,2.348393856333132e-05
LSTM,1,64,128,19.722383703614714,6.084457224002108,5.070381020001757e-05,1.0140762040003515e-05,2.028152408000703e-05
LSTM,1,64,256,7.6939149402891305,15.596741181998368,0.00012997284318331972,2.5994568636663945e-05,5.198913727332789e-05
LSTM,1,128,128,7.869270609868085,15.249189657999523,0.00012707658048332935,2.541531609666587e-05,5.083063219333174e-05
LSTM,1,128,256,2.7027590425670844,44.399074468001345,0.00036999228723334456,7.399845744666892e-05,0.00014799691489333783
LSTM,6,32,128,40.0037059166886,2.999722081996879,2.4997684016640656e-05,4.999536803328131e-06,9.999073606656262e-06
LSTM,6,32,256,16.41131670362795,7.312027558000409,6.0933562983336735e-05,1.2186712596667348e-05,2.4373425193334695e-05
LSTM,6,64,128,19.40358546427707,6.184424019000289,5.1536866825002404e-05,1.0307373365000482e-05,2.0614746730000963e-05
LSTM,6,64,256,7.758596751541991,15.466714386999229,0.0001288892865583269,2.577785731166538e-05,5.155571462333076e-05
LSTM,6,128,128,7.725803918560799,15.532364173999667,0.00012943636811666386,2.5887273623332774e-05,5.177454724666555e-05
LSTM,6,128,256,3.90650082672801,30.71802754500095,0.0002559835628750079,5.119671257500158e-05,0.00010239342515000315
KANish,1,32,128,742.7944665739092,0.1615520919986011,1.3462674333216759e-06,2.692534866643352e-07,5.385069733286704e-07
KANish,1,32,256,626.0227810212682,0.1916863149999699,1.5973859583330826e-06,3.1947719166661654e-07,6.389543833332331e-07
KANish,1,64,128,727.212474407712,0.16501367100136122,1.3751139250113434e-06,2.750227850022687e-07,5.500455700045374e-07
KANish,1,64,256,698.5279791853985,0.17178982599943993,1.431581883328666e-06,2.863163766657332e-07,5.726327533314664e-07
KANish,1,128,128,687.443390471041,0.17455982799947378,1.4546652333289484e-06,2.909330466657897e-07,5.818660933315794e-07
KANish,1,128,256,604.8619925972223,0.1983923629995843,1.6532696916632024e-06,3.306539383326405e-07,6.61307876665281e-07
KANish,6,32,128,604.8233269295877,0.19840504599778797,1.6533753833148996e-06,3.3067507666297997e-07,6.613501533259599e-07
KANish,6,32,256,469.5277470304822,0.25557595000282163,2.129799583356847e-06,4.2595991667136943e-07,8.519198333427389e-07
KANish,6,64,128,551.4919230726146,0.21759158199711237,1.8132631833092698e-06,3.62652636661854e-07,7.25305273323708e-07
KANish,6,64,256,168.12607596191458,0.7137500790013291,5.947917325011077e-06,1.1895834650022155e-06,2.379166930004431e-06
KANish,6,128,128,295.7543778821028,0.4057420919998549,3.3811840999987907e-06,6.762368199997582e-07,1.3524736399995164e-06
KANish,6,128,256,313.6341722236067,0.38261136900109705,3.188428075009142e-06,6.376856150018285e-07,1.275371230003657e-06
