asset,horizon,regime,RMSE
BTC,1,high,0.8700725436210632
BTC,1,low,0.6618359684944153
BTC,1,mid,1.1357966661453247
LTC,1,high,0.04203099384903908
LTC,1,low,0.08187337219715118
LTC,1,mid,0.05050450563430786
XRP,1,high,0.8905766010284424
XRP,1,low,0.5506371259689331
XRP,1,mid,0.9728972911834717
ETH,1,high,0.114497110247612
ETH,1,low,0.12169481068849564
ETH,1,mid,0.12105721235275269
DOGE,1,high,0.09554389119148254
DOGE,1,low,0.18296699225902557
DOGE,1,mid,0.109324611723423
BTC,3,high,1.1491453647613525
BTC,3,low,0.8690646886825562
BTC,3,mid,1.4255566596984863
LTC,3,high,0.06327468156814575
LTC,3,low,0.13587450981140137
LTC,3,mid,0.07655702531337738
XRP,3,high,1.1908516883850098
XRP,3,low,0.7495875954627991
XRP,3,mid,1.2015886306762695
ETH,3,high,0.1894800215959549
ETH,3,low,0.20599812269210815
ETH,3,mid,0.181418314576149
DOGE,3,high,0.14918047189712524
DOGE,3,low,0.3742688000202179
DOGE,3,mid,0.185600146651268
BTC,7,high,1.6418498754501343
BTC,7,low,1.3912547826766968
BTC,7,mid,2.0375583171844482
LTC,7,high,0.10890587419271469
LTC,7,low,0.2354966253042221
LTC,7,mid,0.12394218891859055
XRP,7,high,1.6249009370803833
XRP,7,low,1.1312432289123535
XRP,7,mid,1.7670084238052368
ETH,7,high,0.34315845370292664
ETH,7,low,0.3306126296520233
ETH,7,mid,0.23735374212265015
DOGE,7,high,0.23537908494472504
DOGE,7,low,0.5425533652305603
DOGE,7,mid,0.2528095245361328
