asset,horizon,N,MAE,RMSE,p95
BTC,1,527,0.6709105968475342,0.891008198261261,1.7396661043167114
DOGE,1,527,0.08910984545946121,0.14068612456321716,0.31024807691574097
ETH,1,527,0.08555593341588974,0.11953049898147583,0.23565800487995148
LTC,1,527,0.03975444659590721,0.061847299337387085,0.13448511064052582
XRP,1,527,0.520287811756134,0.8154759407043457,1.8074532747268677
BTC,3,525,0.8944900035858154,1.1500669717788696,2.265749931335449
DOGE,3,525,0.16328847408294678,0.2713833451271057,0.5304973721504211
ETH,3,525,0.13765715062618256,0.19313283264636993,0.4216547906398773
LTC,3,525,0.06661077588796616,0.0995190367102623,0.225562185049057
XRP,3,525,0.6915839910507202,1.0517029762268066,2.2629594802856445
BTC,7,521,1.35618257522583,1.6782927513122559,3.041285991668701
DOGE,7,521,0.25905007123947144,0.39487260580062866,0.8295741081237793
ETH,7,521,0.22954142093658447,0.3047451972961426,0.6799643039703369
LTC,7,521,0.12023597955703735,0.1704109013080597,0.3722957968711853
XRP,7,521,1.0373172760009766,1.5168042182922363,3.115586280822754
