symbol,timestamp,open,high,low,close,volume,split,z,pe_norm,regime
BTC,2010-07-17 00:00:00+00:00,0.04951,0.04951,0.04951,0.04951,0.0,train,-0.5933816253713149,,
BTC,2010-07-18 00:00:00+00:00,0.04951,0.08585,0.04951,0.08584,0.0,train,-0.5933791195262147,,
BTC,2010-07-19 00:00:00+00:00,0.08584,0.09307,0.07723,0.0808,0.0,train,-0.5933794671579049,,
BTC,2010-07-20 00:00:00+00:00,0.0808,0.08181,0.07426,0.07474,0.0,train,-0.5933798851436276,,
BTC,2010-07-21 00:00:00+00:00,0.07474,0.07921,0.06634,0.07921,0.0,train,-0.5933795768274263,,
BTC,2010-07-22 00:00:00+00:00,0.07921,0.08181,0.0505,0.0505,0.0,train,-0.5933815570865187,,
BTC,2010-07-23 00:00:00+00:00,0.0505,0.06767,0.0505,0.06262,0.0,train,-0.5933807211150731,,
BTC,2010-07-24 00:00:00+00:00,0.06262,0.06262,0.05049,0.05454,0.0,train,-0.5933812784293703,,
BTC,2010-07-25 00:00:00+00:00,0.05454,0.05941,0.0505,0.0505,0.0,train,-0.5933815570865187,,
BTC,2010-07-26 00:00:00+00:00,0.0505,0.056,0.05,0.056,0.0,train,-0.5933811777265392,,
BTC,2010-07-27 00:00:00+00:00,0.056,0.0605,0.053,0.06,0.0,train,-0.5933809018283724,,
BTC,2010-07-28 00:00:00+00:00,0.06,0.062,0.054,0.0589,0.0,train,-0.5933809777003684,,
BTC,2010-07-29 00:00:00+00:00,0.0589,0.0699,0.0571,0.0699,0.0,train,-0.5933802189804095,,
BTC,2010-07-30 00:00:00+00:00,0.0699,0.0699,0.0582,0.0627,0.0,train,-0.5933807155971098,,
BTC,2010-07-31 00:00:00+00:00,0.0627,0.06889,0.056,0.06785,0.0,train,-0.5933803603782201,,
BTC,2010-08-01 00:00:00+00:00,0.06785,0.06785,0.06,0.0611,0.0,train,-0.5933808259563765,,
BTC,2010-08-02 00:00:00+00:00,0.0611,0.0633,0.06,0.06,0.0,train,-0.5933809018283724,,
