section,type,rel_path,size_bytes,modified_iso,sha256
misc,figure,/content/export/figures/comp_boxplot_mae_H1.png,26740,2025-10-20T06:50:19.790419Z,06e45b6aa6fc94b5aacc43b71a5ade3bebe4e62fd0922378abb4e59a51bb18fd
misc,figure,/content/export/figures/comp_boxplot_mae_H3.png,27437,2025-10-20T06:50:20.300459Z,7bc119c820680c3a8d6ddcc6641afee12294e6d22fb9d7c79b1ad49b7d19dc64
misc,figure,/content/export/figures/comp_boxplot_mae_H7.png,27865,2025-10-20T06:50:20.842501Z,9aeea6602d881e13252dfc934a641fd601c89eb4338359ff1e2decda96a0d39a
misc,figure,/content/export/figures/comp_boxplot_rmse_H1.png,27714,2025-10-20T06:50:19.959432Z,0d7b58c218c15c1b88358625396e41997059fc20645ed355c9ceb51f75677d41
misc,figure,/content/export/figures/comp_boxplot_rmse_H3.png,28591,2025-10-20T06:50:20.470472Z,5a986af910196410362532491213a66c164e4b5915c3955b1d7e506a0d7fcfd1
misc,figure,/content/export/figures/comp_boxplot_rmse_H7.png,29888,2025-10-20T06:50:21.015514Z,d5af81ab0de1fabe7e2349ccfada8c9f06c71cb62772157099db3bc45620b174
misc,figure,/content/export/figures/comp_cd_diagram_H1.png,21056,2025-10-20T06:50:19.172371Z,09b7be8d827a1c5583acccc88ebc6fe543808b7d8762173c4059226fa7daaf80
misc,figure,/content/export/figures/comp_cd_diagram_H3.png,21640,2025-10-20T06:50:19.392388Z,705299df53eef2b9da21e784d96f1b0f40876e88141571b7c3b5e54e7ed52d9f
misc,figure,/content/export/figures/comp_cd_diagram_H7.png,21476,2025-10-20T06:50:19.612406Z,63fbd501a647b50da685e5958bda03213bb176a27dc5feb75490f83ee421bdab
misc,figure,/content/export/figures/comp_scatter_da_vs_mae_diff_H1.png,39843,2025-10-20T06:50:20.128446Z,b28b505cbab41fbb2e258b99cba7d6be305eb808dc67f2c28118819b548e0971
misc,figure,/content/export/figures/comp_scatter_da_vs_mae_diff_H3.png,38773,2025-10-20T06:50:20.648486Z,d3059df83ea8bd6ed95d426c296c5994ba8b4d2a471debf85f6e663ab3a34bbc
misc,figure,/content/export/figures/comp_scatter_da_vs_mae_diff_H7.png,39509,2025-10-20T06:50:21.198529Z,3271a7a2b1967b08d369659cf4bff23ef8b2d3380fec68c352baf8287ca81502
misc,figure,/content/export/figures/directional_accuracy_bars.png,27763,2025-10-20T06:43:01.261381Z,1613ab9ac7d030cc6a014a1ac417c3673fe9cf250844213653aa72aaf8944909
misc,figure,/content/export/figures/graph_kan_BTC_H1.png,32198,2025-10-20T06:35:52.661125Z,88e613d96d0fbd3d403773a9a51529254e9ec91047b3f3d6a0d6c0ba47370c92
misc,figure,/content/export/figures/graph_kan_BTC_H3.png,32198,2025-10-20T06:36:43.091039Z,88e613d96d0fbd3d403773a9a51529254e9ec91047b3f3d6a0d6c0ba47370c92
misc,figure,/content/export/figures/graph_kan_BTC_H7.png,32198,2025-10-20T06:37:16.797653Z,88e613d96d0fbd3d403773a9a51529254e9ec91047b3f3d6a0d6c0ba47370c92
misc,figure,/content/export/figures/graph_kan_DOGE_H1.png,32198,2025-10-20T06:42:26.576689Z,88e613d96d0fbd3d403773a9a51529254e9ec91047b3f3d6a0d6c0ba47370c92
misc,figure,/content/export/figures/graph_kan_DOGE_H3.png,32198,2025-10-20T06:42:48.735409Z,88e613d96d0fbd3d403773a9a51529254e9ec91047b3f3d6a0d6c0ba47370c92
misc,figure,/content/export/figures/graph_kan_DOGE_H7.png,32198,2025-10-20T06:43:00.469320Z,88e613d96d0fbd3d403773a9a51529254e9ec91047b3f3d6a0d6c0ba47370c92
misc,figure,/content/export/figures/graph_kan_ETH_H1.png,32198,2025-10-20T06:41:18.725423Z,88e613d96d0fbd3d403773a9a51529254e9ec91047b3f3d6a0d6c0ba47370c92
