__section__,horizon,MAE,RMSE,sMAPE,DA,rounds_used,params,MAE_mean,MAE_std,RMSE_mean,RMSE_std,DA_mean,DA_std,rounds_used_mean,ucb_c,rounds,steps,hidden,layers,dropout,lr,cfg,w,aug,price,delta_aug_minus_price,3,5,0.25,0.5,1.0,dMAE_dTrainFrac
baseline_agg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.531845,0.721256,21.411506,0.50778,50.0,21378.0,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,0.558205,0.756131,24.106033,0.508952,50.0,21378.0,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,0.601281,0.813588,27.541132,0.494818,50.0,21378.0,,,,,,,,,,,,,,,,,,,,,,,,,
seeds_mean_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,,,,,,0.541919,0.1227149978215105,0.726441,0.15107375619323607,0.507274,0.004197467133085523,56.666666666666664,,,,,,,,,,,,,,,,,,
,3.0,,,,,,,0.567864,0.11998197006356134,0.760781,0.14499344159765756,0.505651,0.0028590385330270014,56.666666666666664,,,,,,,,,,,,,,,,,,
,7.0,,,,,,,0.610283,0.1157423709120102,0.817584,0.1368727557003218,0.49904,0.005732266945400675,56.666666666666664,,,,,,,,,,,,,,,,,,
teacher_best_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.531845,,,,50.0,,,,,,,,,1.2,,,,,,,,,,,,,,,,,
,3.0,0.558205,,,,50.0,,,,,,,,,1.2,,,,,,,,,,,,,,,,,
,7.0,0.601281,,,,50.0,,,,,,,,,1.2,,,,,,,,,,,,,,,,,
teacher_best_rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.370241,,,,110.0,,,,,,,,,,120.0,,,,,,,,,,,,,,,,
,3.0,0.401281,,,,110.0,,,,,,,,,,120.0,,,,,,,,,,,,,,,,
,7.0,0.450552,,,,110.0,,,,,,,,,,120.0,,,,,,,,,,,,,,,,
teacher_best_steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.313199,,,,50.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
,3.0,0.348485,,,,50.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
,7.0,0.403374,,,,50.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
student_best_hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.531845,,,,50.0,,,,,,,,,,,,64.0,,,,,,,,,,,,,,
,3.0,0.558205,,,,50.0,,,,,,,,,,,,64.0,,,,,,,,,,,,,,
,7.0,0.601281,,,,50.0,,,,,,,,,,,,64.0,,,,,,,,,,,,,,
student_best_layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.500074,,,,80.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
,3.0,0.52546,,,,80.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
,7.0,0.567792,,,,80.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
student_best_dropout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.531845,,,,50.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
,3.0,0.558205,,,,50.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
,7.0,0.601281,,,,50.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
student_best_lr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.531845,,,,50.0,,,,,,,,,,,,,,,0.002,,,,,,,,,,,
,3.0,0.558205,,,,50.0,,,,,,,,,,,,,,,0.002,,,,,,,,,,,
,7.0,0.601281,,,,50.0,,,,,,,,,,,,,,,0.002,,,,,,,,,,,
student_param_counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5570.0,,,,,,,,,,,,,,,"hidden=32,layers=1",,,,,,,,,,
,,,,,,,21378.0,,,,,,,,,,,,,,,"hidden=64,layers=1",,,,,,,,,,
,,,,,,,21378.0,,,,,,,,,,,,,,,"hidden=64,layers=1",,,,,,,,,,
,,,,,,,54658.0,,,,,,,,,,,,,,,"hidden=64,layers=2",,,,,,,,,,
window_best_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.531845,,,,50.0,,,,,,,,,,,,,,,,,64.0,,,,,,,,,
,3.0,0.558205,,,,50.0,,,,,,,,,,,,,,,,,64.0,,,,,,,,,
,7.0,0.601281,,,,50.0,,,,,,,,,,,,,,,,,64.0,,,,,,,,,
features_comp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,,,,,,,,,0.522925,0.531845,-0.008920000000000039,,,,,,
,3.0,,,,,,,,,,,,,,,,,,,,,,,0.549666,0.558205,-0.008538999999999963,,,,,,
,7.0,,,,,,,,,,,,,,,,,,,,,,,0.591812,0.601281,-0.00946899999999995,,,,,,
coverage_assetsmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.621349,0.531845,,,,
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.638898,0.558205,,,,
,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.67197,0.601281,,,,
coverage_downsample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702833,0.441026,0.531845,
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.725313,0.469003,0.558205,
,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.763434,0.514868,0.601281,
coverage_elasticity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16946657142857138
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16549428571428557
,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16062828571428564
