horizon,MAE,RMSE,sMAPE,DA,rounds_used,params,sweep,value
1,0.657265,0.869854,22.622023,0.509298,40,21378,ucb_c,0.6
3,0.680133,0.898584,25.251079,0.516571,40,21378,ucb_c,0.6
7,0.718436,0.947901,28.954954,0.506334,40,21378,ucb_c,0.6
1,0.531845,0.721256,21.411506,0.50778,50,21378,ucb_c,1.2
3,0.558205,0.756131,24.106033,0.508952,50,21378,ucb_c,1.2
7,0.601281,0.813588,27.541132,0.494818,50,21378,ucb_c,1.2
1,0.531845,0.721256,21.411506,0.50778,50,21378,ucb_c,2.0
3,0.558205,0.756131,24.106033,0.508952,50,21378,ucb_c,2.0
7,0.601281,0.813588,27.541132,0.494818,50,21378,ucb_c,2.0
1,0.531845,0.721256,21.411506,0.50778,50,21378,rounds,60.0
3,0.558205,0.756131,24.106033,0.508952,50,21378,rounds,60.0
7,0.601281,0.813588,27.541132,0.494818,50,21378,rounds,60.0
1,0.370241,0.519897,15.182368,0.506641,110,21378,rounds,120.0
3,0.401281,0.5634,18.428825,0.504,110,21378,rounds,120.0
7,0.450552,0.631877,22.576009,0.495202,110,21378,rounds,120.0
1,0.531845,0.721256,21.411506,0.50778,50,21378,steps,1.0
3,0.558205,0.756131,24.106033,0.508952,50,21378,steps,1.0
7,0.601281,0.813588,27.541132,0.494818,50,21378,steps,1.0
1,0.313199,0.45825,13.625776,0.513093,50,21378,steps,2.0
3,0.348485,0.504749,16.513446,0.506667,50,21378,steps,2.0
7,0.403374,0.576753,20.833854,0.493282,50,21378,steps,2.0
