asset,horizon,N,MAE,RMSE,DA,CSDA,CRPS,KS_PIT
BTC,1,527,0.7063381671905518,0.9702447652816772,0.48576849699020386,0.47058820724487305,0.5302152005598698,1.444889034488781e-215
DOGE,1,527,0.2391424924135208,0.3266562521457672,0.4952561557292938,0.45470380783081055,0.16872884174258243,1.444889034488781e-215
ETH,1,527,0.3080456256866455,0.424752801656723,0.5123339891433716,0.47535210847854614,0.22510546655656333,1.444889034488781e-215
LTC,1,527,0.15645448863506317,0.2211100310087204,0.48576849699020386,0.4368600845336914,0.11833063683889654,1.444889034488781e-215
XRP,1,527,0.554318904876709,0.8695085644721985,0.5218216180801392,0.47413790225982666,0.41750580335575693,1.444889034488781e-215
BTC,3,525,0.8741675019264221,1.1609123945236206,0.4819047749042511,0.4746716618537903,0.6842409619399968,1.3994054e-317
DOGE,3,525,0.33436405658721924,0.45126405358314514,0.5257142782211304,0.512059360742569,0.2286367627181306,1.3994054e-317
ETH,3,525,0.42380189895629883,0.578777551651001,0.4990476071834564,0.45250433683395386,0.3052153331181893,1.3994054e-317
LTC,3,525,0.17840832471847534,0.23964020609855652,0.49714285135269165,0.48423004150390625,0.1349879331954377,1.3994054e-317
XRP,3,525,0.7573517560958862,1.128822684288025,0.523809552192688,0.5198487639427185,0.5919467122973197,1.3994054e-317
BTC,7,521,1.9333794116973877,2.3121895790100098,0.4529750347137451,0.4529750347137451,1.5974079546752784,0.0
DOGE,7,521,0.621659517288208,0.8003835082054138,0.5239923000335693,0.522988498210907,0.4479470272621924,0.0
ETH,7,521,0.662224531173706,0.8772726058959961,0.5028790831565857,0.4720720648765564,0.4899708270719003,0.0
LTC,7,521,0.3325236737728119,0.41432538628578186,0.5355086326599121,0.533460795879364,0.22818730622660657,0.0
XRP,7,521,1.5155186653137207,2.077465057373047,0.4894433915615082,0.4894433617591858,1.271776168497672,0.0
