horizon,cost_bps,mean_pnl,std_pnl,sharpe
1,0,-0.0034353960479523073,0.1488042505327008,-0.023086679551518285
1,5,-0.003551904592385597,0.1488004977670827,-0.02387024671076968
1,10,-0.0036684131368188862,0.14879704518212886,-0.024653803658054616
1,25,-0.004017938729428617,0.14878848871197511,-0.027004365486946683
3,0,-0.006365711462994417,0.24503031596233849,-0.02597928112688242
3,5,-0.006459425753159892,0.24502796959797488,-0.026361993546116697
3,10,-0.006553140043325367,0.24502577860210345,-0.026744696336490334
3,25,-0.006834282881092457,0.24502013786621943,-0.027892739513614852
7,0,-0.024718313403213094,0.3853934656627953,-0.0641378632632051
7,5,-0.024753630103546975,0.38539072151217596,-0.06422995864150537
7,10,-0.02478894680388086,0.3853880199252881,-0.06432204822735924
7,25,-0.024894896892548295,0.3853801705567863,-0.06459828189027177
