horizon,metric,baseline,n,median_diff,wilcoxon_stat,p_value,cohen_d
1,MAE,LSTM,5,0.08674448728561401,1.0,0.0625,0.7456790986381285
1,RMSE,LSTM,5,0.10328054428100586,1.0,0.0625,0.7639875909933427
1,DA,LSTM,5,-0.0037950873374938965,0.0,1.0,1.0424942834284927
1,MAE,SMA,5,-0.010456785559654305,10.0,0.78125,-0.6703370734393543
1,RMSE,SMA,5,-0.003767251968383803,10.0,0.78125,-0.6409041539689689
1,DA,SMA,5,-0.02466791868209839,0.0,1.0,1.6737991681219782
1,MAE,Naive,5,-0.0330336093902588,15.0,1.0,-0.7898163645344785
1,RMSE,Naive,5,-0.04003274440765378,15.0,1.0,-0.7898201928849868
1,DA,Naive,5,0.5028463006019592,15.0,0.03125,-26.667226572974123
3,MAE,LSTM,5,0.038252010941505404,1.0,0.0625,0.804311294532008
3,RMSE,LSTM,5,0.07747513055801392,1.0,0.0625,0.804627865077687
3,DA,LSTM,5,0.02285715937614441,9.0,0.40625,-0.03550462169297396
3,MAE,SMA,5,-0.008487440645694691,10.0,0.78125,-0.6513367933519303
3,RMSE,SMA,5,-0.0042501389980315885,10.0,0.78125,-0.6280082053914289
3,DA,SMA,5,0.003809511661529541,8.0,0.5,-0.05577096087317614
3,MAE,Naive,5,-0.021191716194152888,15.0,1.0,-0.7415059902569524
3,RMSE,Naive,5,-0.018847525119781397,15.0,1.0,-0.7380918382039138
3,DA,Naive,5,0.5219047665596008,15.0,0.03125,-13.39824307474136
7,MAE,LSTM,5,0.35401639342308056,1.0,0.0625,1.035395542193157
7,RMSE,LSTM,5,0.513054221868515,1.0,0.0625,1.0554939752965717
7,DA,LSTM,5,-0.02687141299247736,3.0,0.90625,0.5157763236091533
7,MAE,SMA,5,-0.0098455846309662,10.0,0.78125,-0.6295355106215219
7,RMSE,SMA,5,-0.004472747445106506,10.0,0.78125,-0.5867612330370406
7,DA,SMA,5,-0.013435721397399902,4.0,0.8125,0.5046528050104733
7,MAE,Naive,5,-0.01696062833070759,15.0,1.0,-0.7001343271999874
7,RMSE,Naive,5,-0.01226143538951871,13.0,0.9375,-0.6794235815104885
7,DA,Naive,5,0.5028790831565857,15.0,0.03125,-17.67345015249753
